iter	Passed	Remaining
918	3865	340
919	3868	336
920	3870	332
921	3873	327
922	3876	323
923	3878	319
924	3881	314
925	3883	310
926	3886	306
927	3891	301
928	3893	297
929	3895	293
930	3897	288
931	3900	284
932	3902	280
933	3906	276
934	3908	271
935	3911	267
936	3913	263
937	3915	258
938	3918	254
939	3920	250
940	3923	246
941	3925	241
942	3928	237
943	3930	233
944	3933	228
945	3937	224
946	3939	220
947	3942	216
948	3945	212
949	3947	207
950	3949	203
951	3953	199
952	3956	195
953	3959	190
954	3963	186
955	3966	182
956	3969	178
957	3973	174
958	3976	170
959	3978	165
960	3981	161
961	3984	157
962	3987	153
963	3990	149
964	3992	144
965	3995	140
966	3997	136
967	4000	132
968	4003	128
969	4005	123
970	4007	119
971	4010	115
972	4012	111
973	4015	107
974	4018	103
975	4021	98
976	4023	94
977	4025	90
978	4028	86
979	4031	82
980	4035	78
981	4038	74
982	4042	69
983	4044	65
984	4050	61
985	4053	57
986	4057	53
987	4060	49
988	4064	45
989	4068	41
990	4071	36
991	4074	32
992	4078	28
993	4083	24
994	4086	20
995	4090	16
996	4093	12
997	4101	8
998	4104	4
999	4107	0
